James Ingram & Michael McDonald,?,Featuring
Groove For Thought,?,Error'artist-relation-list'
Brenda Russell,Vrouw,Person
Korgis,Man,Group
Room 5,Man,Person
The Dutch,Man,Group
Klf & Tammy Wynette,?,Featuring
Tess Merlot,Man,Person
Blue Feat. Stevie Wonder & Angie Stone,?,Featuring
The Chieftains & Natalie Merchant,?,Featuring
Musical Youth,Man,Group
Listenbee ft. Naz Tokio,?,Featuring
Tram Des Balkans & Melissa Zantman,?,Featuring
Lizz Wright,Vrouw,Person
Van Plan,Man,Person
Tribalistas,Man,Group
Mink Deville,Man,Group
Graffiti6,?,Error'artist-relation-list'
Jam,Man,Group
Fish,Man,Person
Yellow Pearl,?,Error'artist-relation-list'
Freiheit & London Symphony Orchestra,?,Featuring
Blue Boy,Man,Person
5th Dimension,?,Error'artist-relation-list'
Clannad,Man,Group
Solar State,?,Error'artist-relation-list'
Livin' Blues,Man,Group
Scoop,Man,Group
Evanescence,Man,Group
Wings,Man,Group
Fiction Factory,Man,Group
Dvbbs & Borgeous,?,Featuring
Napoleon XIV,Man,Person
Rocky Burnette,Man,Person
Oh Sixteen Oh Seven,Man,Group
LUNIZ,Man,Group
Zayn,Man,Person
Fiddler's Dram,Man,Group
Tinlicker Ft. Circa Waves,?,Featuring
Stardust,Vrouw,Group
Rihanna Feat. Calvin Harris,?,Featuring
AJR,Man,Group
Metro Boomin' Ft. The Weeknd & 21 Savage,?,Featuring
Sandra,Vrouw,Person
HOOTERS,Man,Group
Ultimate Kaos,Man,Group
Buckshot Lefonque,Man,Group
Elin Hall,?,Person
Royel Otis,?,Error'artist-relation-list'
L Devine,Vrouw,Person
St.Vincent,?,Errorlist index out of range
Blue Mink,Man,Group
Grand Funk,Man,Group
Pernice Brothers,Man,Group
Big Thief,Man,Group
Kaleo,Man,Group
Del Water Gap,Man,Person
The Smile,Man,Group
Maryn Charle,?,Error'artist-relation-list'
R Dean Taylor,Man,Person
Eternal Ft. Bebe Winans,?,Featuring
Morpheus,Man,Group
The Boy Next Door & Lucas Nicholas,?,Featuring
Overmono,Man,Group
Coi Leray,Vrouw,Person
Racey,Man,Group
Topic,Man,Person
Shouse,Man,Group
Chris Montez,Man,Person
Sinead O'connor,Vrouw,Person
Galantis,Man,Group
Toad The Wet Sprocket,Man,Group
Jose Feliciano,Man,Person
Brotherhood of man,Man,Group
Peter Fox,Man,Person
Naughty Boy Ft. Sam Smith,?,Featuring
American Breed,Man,Group
Barbra Streisand & Céline Dion,?,Featuring
Kevin Lyttle Ft. Spragga Benz,?,Featuring
Dua Lipa Ft Chris Martin,?,Featuring
Everly Brothers,Man,Group
Raffaela Carra,Vrouw,Person
Led Zeppelin,Man,Group
Joy Division,Man,Group
Mike Posner & Seeb,?,Featuring
Continental Uptight Band,Man,Group
Martin Garrix & Bonn,?,Featuring
Louis Armstrong,Man,Person
Mark Knopfler & James Taylor,?,Featuring
Roberta Flack & Donny Hathaway,?,Featuring
Johnny Hallyday,Man,Person
The Ides Of March,Man,Group
Razorlight,Man,Group
Rowwen Heze,Man,Group
Ram Jam,Man,Group
Veul Gère ft. Partij voor de Vrijdag,?,Featuring
Spinners,?,Error'artist-relation-list'
Dennis van Aarssen ft. Jeff Franzel,?,Featuring
Eminem Ft. Rihanna,?,Featuring
Chris Farlowe,Man,Person
Sophia George,Vrouw,Person
Brian Hyland,Man,Person
Bryan Adams Feat. Melanie C,?,Featuring
Ella Fitzgerald & Louis Armstrong,?,Featuring
Anita Ward,Vrouw,Person
Carolina Liar,Man,Group
The Crystals,Vrouw,Group
Clouseau,Man,Group
Mungo Jerry,Man,Group
Lil Nas X/Jack Harlow,?,Featuring
Orleans,Man,Group
Norman Greenbaum,Man,Person
Patrick Bruel,Man,Person
Jay-Z Feat. Linkin Park,?,Featuring
Howard Jones,Man,Person
Jonas Blue & Jack & Jack,?,Featuring
Emotions & Earth Wind & Fire,?,Featuring
Purple Disco Machine ft. Eyelar,?,Featuring
Bruce Channel,Man,Person
Neomi,Vrouw,Person
Jimmy 'Bo' Horne,Man,Person
New Vaudeville Band,Man,Group
B.o.B. ft. Rivers Cuomo,?,Featuring
The Spencer Davis Group,Man,Group
Acda en De Munnik,Man,Group
The Kooks,Man,Group
Joe Tex,Man,Person
Bashung,Man,Person
Kanye West Ft. Chris Martin,?,Featuring
Badfinger,Man,Group
Scott Walker,Man,Person
David Guetta ft. Sia,?,Featuring
The Haunted Youth,Man,Group
Dave & Ansil Collins,?,Featuring
Tiesto Ft Jonas Blue & Rita Ora,?,Featuring
David McWilliams,Man,Person
Patsy Gallant,Vrouw,Person
Santa Esmeralda & Leroy Gomez,?,Featuring
Guns 'N Roses,Man,Group
Vanessa Paradis,Vrouw,Person
Swedish House Mafia ft. The Weeknd,?,Featuring
Blue Haze,?,Person
New Musik,Man,Group
Kygo Ft Parson James,?,Featuring
Cee Lo Green,?,Error'artist-relation-list'
J. Geils Band,Man,Group
Rihanna & Calvin Harris,?,Featuring
Elton John & George Michael,?,Featuring
The Boomtown Rats,Man,Group
Young Gun Silver Fox,Vrouw,Group
The Searchers,Man,Group
Dj Jean,Man,Person
Soulsister,Man,Group
Dof,?,Person
Al Jarreau,Man,Person
Edsilia Rombley,Vrouw,Person
Bløf & Geike Arnaert,?,Featuring
Christina Aguilera en Missy Elliot,Vrouw,Person
Al Martino,Man,Person
Pasadenas,Man,Group
The Radio'S,?,Error'artist-relation-list'
Dawn and Tony Orlando,Man,Group
Ofenbach Ft Lagique,?,Featuring
Luis Fonsi Ft. Daddy Yankee,?,Featuring
Justice,Man,Group
Scatman John,Man,Person
All 4 One,Man,Group
Jessica,Vrouw,Person
Troggs,Man,Group
Livin' Joy,Man,Group
Kim Petras/Sam Smith,?,Featuring
Marusha,Vrouw,Person
Frida Boccara,Vrouw,Person
Clivilles & Cole,?,Featuring
Maywood,Man,Group
Double Vision,Man,Group
Enge Buren,?,Error'artist-relation-list'
Weekend,Man,Person
Majestic & Boney M,?,Featuring
Boz Scaggs,Man,Person
Fatal Flowers,Man,Group
Dave Davies,Man,Person
Daft Punk Ft. Pharell Williams,?,Featuring
Marianne Faithfull,Vrouw,Person
The Lumineers,Man,Group
Heaven 17,Man,Group
Josh Groban,Man,Person
Coldplay ft. Beyoncé,?,Featuring
Kygo Ft Selena Gomez,?,Featuring
Mama Cass,Vrouw,Person
The Easybeats,Man,Group
Radiohead,Man,Group
Clean Bandit Ft. Zara Larsson,?,Featuring
Miami Sound Machine,Man,Group
Praise Cats,Man,Person
The Drifters,?,Featuring
Armin van Buuren feat. Trevor Guthrie,Man,Person
Sia & Sean Paul,?,Featuring
Los Del Rio,Man,Group
Analogues,Man,Group
Becky Hill Ft David Guetta,?,Featuring
Osmonds,Man,Group
Janse Bagge Bend,Man,Group
Fluitsma & Van Tijn,?,Featuring
Acraze Ft. Cherish,?,Featuring
Ron Carroll,Man,Person
Jay-Z & Linkin Park,?,Featuring
Linda Roos & Jessica,?,Featuring
Nathan Dawe Ft. Ella Henderson,?,Featuring
Phats & Small,?,Featuring
The Common Linnets,Man,Group
"Luis Fonsi Ft. Sebastian Yatra, Nicky Jam",?,Featuring
Roger Waters,Man,Person
Milky,?,Error'artist-relation-list'
Blackbird,Man,Person
Men Without Hats,Man,Group
Smokie,Man,Group
La's,?,Error'artist-relation-list'
Inna,Vrouw,Person
Al Stewart,Man,Person
The Communards,Man,Group
Del Shannon,Man,Person
Jimmy Cliff,Man,Person
Jesse Mccartney,Man,Person
AR/CO,?,Featuring
Alan Walker,Man,Person
Danny de Munk,Man,Person
Debarge,Man,Group
David Guetta,Man,Person
The Troggs,Man,Group
The Pogues,Man,Group
4 Hero,Man,Group
Kungs Vs. Cookin On 3 Burners,Man,Group
White Town,Man,Group
Willie Nelson,Man,Person
Charlie Puth Feat Meghan Trainor,Vrouw,Person
Meduza & James Carter Ft. Elley Duhe & Fast Boy,?,Featuring
Nolan Sisters,Vrouw,Group
Claudia De Breij,Vrouw,Person
Lipps Inc,Man,Group
Electric Light Orchestra & Olivia Newton-John,?,Featuring
Searchers,Man,Group
The Stranglers,Man,Group
Shapeshifters,?,Featuring
Bananarama & Fun Boy Three,?,Featuring
Snap!,Man,Group
Frans Halsema & Jenny Arean,?,Featuring
El Barrio,Man,Person
Milk Inc,Man,Group
Tiffany,Vrouw,Person
Armin Van Buuren Ft Trevor Guthrie,?,Featuring
"Metro Boomin, The Weeknd & 21 Savage",?,Featuring
P!Nk Feat. Nate Ruess,?,Featuring
Bryan Adams & Melanie C,?,Featuring
Jelte Van Der Goat Ft. Sikky Sombrero,?,Featuring
Pink Ft Nate Ruess,?,Featuring
Jessie Hill,Man,Person
Orchestral Maneuvres in the Dark,Man,Group
Armin Van Buuren & Billen Ted & Jc Stewart,?,Featuring
Tupac,?,Error'artist-relation-list'
Instant Funk,Man,Group
Jermaine Stewart,Man,Person
Big Country,Man,Group
Guy Sebastian,Man,Person
Crosby Stills Nash & Young,?,Featuring
Grapefruit,Man,Group
Eliza Rose,Vrouw,Person
Rufus & Chaka Khan,?,Featuring
Joel Corry Ft. Raye,?,Featuring
Gabriella Cilmi,Vrouw,Person
Diane & Annita,?,Featuring
Falco,Man,Person
Declan McKenna,Man,Person
Womack & Womack,?,Featuring
Lucas & Steve X Philip Strand,?,Featuring
Flash & The Pan,?,Featuring
Pixies,Man,Group
John Farnham,Man,Person
DEF LEPPARD,Man,Group
Swedish House Mafia & The Weeknd,?,Featuring
Flock Of Seagulls,Man,Group
Mabel,Vrouw,Person
The Time,Man,Group
LL Cool J,Man,Person
Mike Oldfield & Roger Chapman,?,Featuring
Wodan Boys,?,Error'artist-relation-list'
Kraantje Pappie,Man,Person
Jonas Blue Ft Dakota,?,Featuring
Eliza Doolittle,Vrouw,Person
Matt_Bianco,Man,Group
Lulu & The Luvvers,?,Featuring
Bakermat,Man,Person
Al Green,Man,Person
Deodato,Man,Person
Farm,Man,Group
