Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Lisa Stansfield,Change,2024-02-25T02:23:25,2024-02-25T02:27:45,True,2
Meat Loaf,I'd Lie For You (And That's The Truth),2024-02-25T02:24:42,2024-02-25T02:27:42,False,10
Tiesto & Fast Boy,All My Life,2024-02-25T02:25:17,2024-02-25T02:27:43,False,3
Viola Wills,Gonna Get Along Without You Now,2024-02-25T02:25:43,2024-02-25T02:28:56,True,5
Fun Lovin' Criminals,Scooby Snacks,2024-02-25T02:27:51,2024-02-25T02:30:53,False,Veronica
Roy Ayers,Everybody Loves the Sunshine,2024-02-25T02:27:26,2024-02-25T02:31:18,False,2
Enrique Iglesias,Bailamos,2024-02-25T02:27:36,2024-02-25T02:30:36,False,Sky
Jamiroquai,Cosmic Girl,2024-02-25T02:27:39,2024-02-25T02:31:19,False,3
Nits,The Tree,2024-02-25T02:28:53,2024-02-25T02:32:47,False,5
Maxine Nightingale,Right Back Where We Started From,2024-02-25T02:28:56,2024-02-25T02:31:56,False,10
Post Malone,Enough Is Enough,2024-02-25T02:30:59,2024-02-25T02:33:59,False,Sky
Dua Lipa,Houdini,2024-02-25T02:32:09,2024-02-25T02:35:14,True,Veronica
Moods ft. Wayne Snow,All For You,2024-02-25T02:31:13,2024-02-25T02:35:25,False,2
Adam Lambert,Whatya Want From Me,2024-02-25T02:32:12,2024-02-25T02:35:12,False,10
Manfred Mann,Do Wah Diddy Diddy,2024-02-25T02:32:41,2024-02-25T02:35:02,False,5
Labrinth Ft Emeli Sande,Beneath Your Beautiful,2024-02-25T02:33:48,2024-02-25T02:36:48,False,Sky
Sutherland Brothers And Quiver,Arms Of Mary,2024-02-25T02:35:04,2024-02-25T02:37:40,False,5
Huey Lewis & The News,Stuck With You,2024-02-25T02:35:53,2024-02-25T02:38:53,False,10
Kiss,I Was Made For Lovin' You,2024-02-25T02:36:26,2024-02-25T02:40:24,False,Veronica
Shanice,I Love Your Smile,2024-02-25T02:35:24,2024-02-25T02:39:11,True,2
ONLY THE POETS,ONE MORE NIGHT,2024-02-25T02:36:06,2024-02-25T02:39:19,False,3
Searchers,Love Potion # 9,2024-02-25T02:37:37,2024-02-25T02:39:42,False,5
Chef'Special,Speed Of Light,2024-02-25T02:37:45,2024-02-25T02:40:45,False,Sky
Gladys Knight & The Pips,Come Back And Finish What You Started,2024-02-25T02:39:10,2024-02-25T02:42:29,True,2
Black Eyed Peas,I Gotta Feeling,2024-02-25T02:40:13,2024-02-25T02:43:13,False,10
Hoobastank,Reason,2024-02-25T02:40:44,2024-02-25T02:44:34,False,Veronica
Tate Mcrae,greedy,2024-02-25T02:39:29,2024-02-25T02:41:44,False,3
The Corrs,Breathless,2024-02-25T02:40:02,2024-02-25T02:43:27,False,5
Lost Frequencies Ft. Elley Duhe & X Ambassadors,Back To You,2024-02-25T02:40:48,2024-02-25T02:43:48,False,Sky
Instant Funk,I Got My Mind Made Up (You Can Get It Girl),2024-02-25T02:42:22,2024-02-25T02:45:43,False,2
The Lumineers,Ho Hey,2024-02-25T02:42:03,2024-02-25T02:44:38,False,3
Kayak,Ruthless Queen,2024-02-25T02:43:25,2024-02-25T02:48:14,False,5
Justin Bieber,Love Yourself,2024-02-25T02:43:27,2024-02-25T02:46:27,False,Sky
Queen,Don't Stop Me Now,2024-02-25T02:44:16,2024-02-25T02:47:16,False,10
T'pau,China In Your Hand,2024-02-25T02:46:32,2024-02-25T02:50:33,False,Veronica
Skee Lo,I Wish,2024-02-25T02:45:34,2024-02-25T02:49:41,False,2
Niall Horan,The Show,2024-02-25T02:45:44,2024-02-25T02:48:52,False,3
Anne-Marie Shania Twain,Unhealthy,2024-02-25T02:47:17,2024-02-25T02:50:17,True,Sky
Tom Jones,HELP YOURSELF,2024-02-25T02:48:14,2024-02-25T02:51:05,False,5
Sheryl Crow,All I Wanna Do,2024-02-25T02:47:51,2024-02-25T02:50:51,True,10
"Lost Frequencies, Bastille",Head Down,2024-02-25T02:48:57,2024-02-25T02:51:48,False,3
Rachel Platten,Fight Song,2024-02-25T02:49:58,2024-02-25T02:52:58,True,Sky
Bee Gees,Night Fever,2024-02-25T02:50:35,2024-02-25T02:54:06,False,Veronica
Margo Thunder,Expressway To Your Heart,2024-02-25T02:49:36,2024-02-25T02:53:09,False,2
The Wombats,Tokyo (Vampires & Wolves),2024-02-25T02:52:09,2024-02-25T02:55:54,False,3
Rene Froger,Alles Kan Een Mens Gelukkig Maken,2024-02-25T02:50:59,2024-02-25T02:55:01,False,5
Pet Shop Boys,Always On My Mind,2024-02-25T02:52:17,2024-02-25T02:55:17,False,10
The Weeknd,Can't Feel My Face,2024-02-25T02:53:13,2024-02-25T02:56:44,False,2
Kygo Ft. Dnce,Dancing Feet,2024-02-25T02:53:26,2024-02-25T02:56:26,False,Sky
Common Linnets,Calm After The Storm,2024-02-25T02:54:52,2024-02-25T02:57:56,False,Veronica
Nea,Some Say,2024-02-25T02:56:02,2024-02-25T02:59:02,False,10
Pink,Get The Party Started,2024-02-25T02:55:53,2024-02-25T02:59:01,True,3
Pussycat,Mississippi,2024-02-25T02:55:13,2024-02-25T02:59:50,True,5
Milow,You Don't Know,2024-02-25T02:56:58,2024-02-25T02:59:58,False,Sky
Flirtations,Nothing But A Heartache,2024-02-25T02:56:35,2024-02-25T02:59:13,False,2
Daryl Hall & John Oates,I Can't Go For That,2024-02-25T02:59:25,2024-02-25T03:03:09,False,Veronica
Melee,Built To Last,2024-02-25T02:59:31,2024-02-25T03:03:12,False,5
Ella Fitzgerald & Louis Armstrong,They Can't Take That Away From Me,2024-02-25T02:59:07,2024-02-25T03:03:43,False,2
David Guetta Ft Sam Martin,Dangerous,2024-02-25T03:01:52,2024-02-25T03:04:52,False,Sky
King,Love & Pride,2024-02-25T03:01:28,2024-02-25T03:04:28,False,10
Moloko,Sing It Back,2024-02-25T03:04:12,2024-02-25T03:07:46,False,Veronica
Will Smith,Gettin' Jiggy With It,2024-02-25T03:02:15,2024-02-25T03:06:02,False,2
Post Malone,Enough Is Enough,2024-02-25T03:02:49,2024-02-25T03:05:32,False,3
Daniel Boone,Beautiful Sunday,2024-02-25T03:02:21,2024-02-25T03:05:21,False,5
Teddy Swims,The Door,2024-02-25T03:04:18,2024-02-25T03:07:18,False,Q
Duran Duran,Girls On Film,2024-02-25T03:05:13,2024-02-25T03:08:40,False,5
Noah Kahan,Stick Season,2024-02-25T03:05:11,2024-02-25T03:08:11,False,Sky
David Guetta Ft Sia,Flames,2024-02-25T03:04:46,2024-02-25T03:07:46,False,10
Sam & Dave,You Don't Know What You Mean To Me,2024-02-25T03:06:03,2024-02-25T03:08:41,False,2
De Jeugd van Tegenwoordig,Sterrenstof,2024-02-25T03:05:31,2024-02-25T03:09:10,False,3
Nick Schilder,Shatterproof,2024-02-25T03:07:49,2024-02-25T03:10:49,False,Q
Master Kg Ft. Nomcebo Zikode,Jerusalema,2024-02-25T03:08:10,2024-02-25T03:11:10,False,Sky
America,A Horse With No Name,2024-02-25T03:08:01,2024-02-25T03:11:01,False,10
Bruce Springsteen,The River,2024-02-25T03:09:01,2024-02-25T03:13:59,False,Veronica
Tremeloes,Here Comes My Baby,2024-02-25T03:08:47,2024-02-25T03:11:29,False,5
Childish Gambino,Redbone,2024-02-25T03:08:34,2024-02-25T03:11:59,False,2
Kane,Rain Down On Me,2024-02-25T03:10:29,2024-02-25T03:13:29,False,Q
Phil Collins,True Colors,2024-02-25T03:11:19,2024-02-25T03:14:19,False,Sky
Nothing But Thieves,Oh No :: He Said What?,2024-02-25T03:10:35,2024-02-25T03:14:11,False,3
Tim Akkerman,Hear Me Out,2024-02-25T03:11:26,2024-02-25T03:15:11,False,5
